[2024-10-20T01:44:17.187+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-20T01:38:12.716326+00:00 [queued]>
[2024-10-20T01:44:17.196+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-20T01:38:12.716326+00:00 [queued]>
[2024-10-20T01:44:17.196+0000] {taskinstance.py:1359} INFO - Starting attempt 2 of 2
[2024-10-20T01:44:17.208+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): steam_extraction> on 2024-10-20 01:38:12.716326+00:00
[2024-10-20T01:44:17.212+0000] {standard_task_runner.py:57} INFO - Started process 57 to run task
[2024-10-20T01:44:17.215+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'etl_steam_pipeline', 'steam_extraction', 'manual__2024-10-20T01:38:12.716326+00:00', '--job-id', '24', '--raw', '--subdir', 'DAGS_FOLDER/steam_dag.py', '--cfg-path', '/tmp/tmpdx6jtqr1']
[2024-10-20T01:44:17.218+0000] {standard_task_runner.py:85} INFO - Job 24: Subtask steam_extraction
[2024-10-20T01:44:17.271+0000] {task_command.py:415} INFO - Running <TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-20T01:38:12.716326+00:00 [running]> on host 8c4ad75bac1b
[2024-10-20T01:44:17.365+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Jordan Welborn' AIRFLOW_CTX_DAG_ID='etl_steam_pipeline' AIRFLOW_CTX_TASK_ID='steam_extraction' AIRFLOW_CTX_EXECUTION_DATE='2024-10-20T01:38:12.716326+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-20T01:38:12.716326+00:00'
[2024-10-20T01:44:17.369+0000] {logging_mixin.py:151} INFO - Processed 2129810 Already! Sorry Try another
[2024-10-20T01:44:17.370+0000] {logging_mixin.py:151} INFO - Processed 2335800 Already! Sorry Try another
[2024-10-20T01:44:17.372+0000] {logging_mixin.py:151} INFO - Processed 986010 Already! Sorry Try another
[2024-10-20T01:44:17.373+0000] {logging_mixin.py:151} INFO - Processed 2097170 Already! Sorry Try another
[2024-10-20T01:44:17.374+0000] {logging_mixin.py:151} INFO - Processed 3155230 Already! Sorry Try another
[2024-10-20T01:44:17.375+0000] {logging_mixin.py:151} INFO - Processed 3213430 Already! Sorry Try another
[2024-10-20T01:44:17.376+0000] {logging_mixin.py:151} INFO - Processed 3282810 Already! Sorry Try another
[2024-10-20T01:44:17.377+0000] {logging_mixin.py:151} INFO - Processed 585420 Already! Sorry Try another
[2024-10-20T01:44:17.378+0000] {logging_mixin.py:151} INFO - Processed 1948280 Already! Sorry Try another
[2024-10-20T01:44:17.379+0000] {logging_mixin.py:151} INFO - Processed 3231920 Already! Sorry Try another
[2024-10-20T01:44:17.380+0000] {logging_mixin.py:151} INFO - Processed 1116170 Already! Sorry Try another
[2024-10-20T01:44:17.380+0000] {logging_mixin.py:151} INFO - Processed 3045050 Already! Sorry Try another
[2024-10-20T01:44:17.381+0000] {logging_mixin.py:151} INFO - Processed 2255370 Already! Sorry Try another
[2024-10-20T01:44:17.382+0000] {logging_mixin.py:151} INFO - Processed 941460 Already! Sorry Try another
[2024-10-20T01:44:17.383+0000] {logging_mixin.py:151} INFO - Processed 1520470 Already! Sorry Try another
[2024-10-20T01:44:17.384+0000] {logging_mixin.py:151} INFO - Processed 553780 Already! Sorry Try another
[2024-10-20T01:44:17.385+0000] {logging_mixin.py:151} INFO - Processed 308600 Already! Sorry Try another
[2024-10-20T01:44:17.386+0000] {logging_mixin.py:151} INFO - Processed 1459630 Already! Sorry Try another
[2024-10-20T01:44:17.387+0000] {logging_mixin.py:151} INFO - Processed 2319940 Already! Sorry Try another
[2024-10-20T01:44:17.388+0000] {logging_mixin.py:151} INFO - Processed 2139460 Already! Sorry Try another
[2024-10-20T01:44:17.389+0000] {logging_mixin.py:151} INFO - Processed 2334700 Already! Sorry Try another
[2024-10-20T01:44:17.390+0000] {logging_mixin.py:151} INFO - Processed 2399420 Already! Sorry Try another
[2024-10-20T01:44:17.391+0000] {logging_mixin.py:151} INFO - Processed 2999030 Already! Sorry Try another
[2024-10-20T01:44:17.392+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 258550...
[2024-10-20T01:44:17.654+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 258550
[2024-10-20T01:44:17.656+0000] {logging_mixin.py:151} INFO - Processed 1851350 Already! Sorry Try another
[2024-10-20T01:44:17.657+0000] {logging_mixin.py:151} INFO - Processed 3018090 Already! Sorry Try another
[2024-10-20T01:44:17.659+0000] {logging_mixin.py:151} INFO - Processed 3271040 Already! Sorry Try another
[2024-10-20T01:44:17.660+0000] {logging_mixin.py:151} INFO - Processed 2266650 Already! Sorry Try another
[2024-10-20T01:44:17.661+0000] {logging_mixin.py:151} INFO - Processed 3198990 Already! Sorry Try another
[2024-10-20T01:44:17.662+0000] {logging_mixin.py:151} INFO - Processed 2082570 Already! Sorry Try another
[2024-10-20T01:44:17.663+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 1892930...
[2024-10-20T01:44:17.943+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 1892930
[2024-10-20T01:44:17.945+0000] {logging_mixin.py:151} INFO - Processed 3277500 Already! Sorry Try another
[2024-10-20T01:44:17.946+0000] {logging_mixin.py:151} INFO - Processed 3061690 Already! Sorry Try another
[2024-10-20T01:44:17.947+0000] {logging_mixin.py:151} INFO - Processed 322330 Already! Sorry Try another
[2024-10-20T01:44:17.948+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 3199170...
[2024-10-20T01:44:18.186+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 3199170
[2024-10-20T01:44:18.188+0000] {logging_mixin.py:151} INFO - Processed 1273100 Already! Sorry Try another
[2024-10-20T01:44:18.189+0000] {logging_mixin.py:151} INFO - Processed 3190970 Already! Sorry Try another
[2024-10-20T01:44:18.191+0000] {logging_mixin.py:151} INFO - Processed 1771300 Already! Sorry Try another
[2024-10-20T01:44:18.192+0000] {logging_mixin.py:151} INFO - Processed 2902720 Already! Sorry Try another
[2024-10-20T01:44:18.193+0000] {logging_mixin.py:151} INFO - Processed 1138640 Already! Sorry Try another
[2024-10-20T01:44:18.194+0000] {logging_mixin.py:151} INFO - Processed 2400840 Already! Sorry Try another
[2024-10-20T01:44:18.195+0000] {logging_mixin.py:151} INFO - Processed 1208170 Already! Sorry Try another
[2024-10-20T01:44:18.196+0000] {logging_mixin.py:151} INFO - Processed 2990080 Already! Sorry Try another
[2024-10-20T01:44:18.197+0000] {logging_mixin.py:151} INFO - Processed 2980550 Already! Sorry Try another
[2024-10-20T01:44:18.198+0000] {logging_mixin.py:151} INFO - Processed 2000890 Already! Sorry Try another
[2024-10-20T01:44:18.199+0000] {logging_mixin.py:151} INFO - Processed 2587840 Already! Sorry Try another
[2024-10-20T01:44:18.200+0000] {logging_mixin.py:151} INFO - Processed 2052040 Already! Sorry Try another
[2024-10-20T01:44:18.201+0000] {logging_mixin.py:151} INFO - Processed 3270630 Already! Sorry Try another
[2024-10-20T01:44:18.202+0000] {logging_mixin.py:151} INFO - Processed 3180930 Already! Sorry Try another
[2024-10-20T01:44:18.203+0000] {logging_mixin.py:151} INFO - Processed 949230 Already! Sorry Try another
[2024-10-20T01:44:18.204+0000] {logging_mixin.py:151} INFO - Processed 1128860 Already! Sorry Try another
[2024-10-20T01:44:18.205+0000] {logging_mixin.py:151} INFO - Processed 1428090 Already! Sorry Try another
[2024-10-20T01:44:18.206+0000] {logging_mixin.py:151} INFO - Processed 108600 Already! Sorry Try another
[2024-10-20T01:44:18.207+0000] {logging_mixin.py:151} INFO - Processed 1999520 Already! Sorry Try another
[2024-10-20T01:44:18.208+0000] {logging_mixin.py:151} INFO - Processed 3186690 Already! Sorry Try another
[2024-10-20T01:44:18.209+0000] {logging_mixin.py:151} INFO - Processed 1121560 Already! Sorry Try another
[2024-10-20T01:44:18.210+0000] {logging_mixin.py:151} INFO - Processed 1127660 Already! Sorry Try another
[2024-10-20T01:44:18.211+0000] {logging_mixin.py:151} INFO - Processed 1185810 Already! Sorry Try another
[2024-10-20T01:44:18.212+0000] {logging_mixin.py:151} INFO - Processed 1325730 Already! Sorry Try another
[2024-10-20T01:44:18.213+0000] {logging_mixin.py:151} INFO - Processed 1503170 Already! Sorry Try another
[2024-10-20T01:44:18.214+0000] {logging_mixin.py:151} INFO - Processed 1645220 Already! Sorry Try another
[2024-10-20T01:44:18.214+0000] {logging_mixin.py:151} INFO - Processed 1790600 Already! Sorry Try another
[2024-10-20T01:44:18.215+0000] {logging_mixin.py:151} INFO - Processed 1800860 Already! Sorry Try another
[2024-10-20T01:44:18.216+0000] {logging_mixin.py:151} INFO - Processed 1803450 Already! Sorry Try another
[2024-10-20T01:44:18.217+0000] {logging_mixin.py:151} INFO - Processed 1818450 Already! Sorry Try another
