[2024-10-18T16:05:14.818+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T16:05:10.097368+00:00 [queued]>
[2024-10-18T16:05:14.828+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T16:05:10.097368+00:00 [queued]>
[2024-10-18T16:05:14.829+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 4
[2024-10-18T16:05:14.845+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): steam_extraction> on 2024-10-18 16:05:10.097368+00:00
[2024-10-18T16:05:14.850+0000] {standard_task_runner.py:57} INFO - Started process 71 to run task
[2024-10-18T16:05:14.854+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'etl_steam_pipeline', 'steam_extraction', 'manual__2024-10-18T16:05:10.097368+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/steam_dag.py', '--cfg-path', '/tmp/tmptbe9uil_']
[2024-10-18T16:05:14.855+0000] {standard_task_runner.py:85} INFO - Job 12: Subtask steam_extraction
[2024-10-18T16:05:14.931+0000] {task_command.py:415} INFO - Running <TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T16:05:10.097368+00:00 [running]> on host 6c0d6974ad20
[2024-10-18T16:05:15.031+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Jordan Welborn' AIRFLOW_CTX_DAG_ID='etl_steam_pipeline' AIRFLOW_CTX_TASK_ID='steam_extraction' AIRFLOW_CTX_EXECUTION_DATE='2024-10-18T16:05:10.097368+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-18T16:05:10.097368+00:00'
[2024-10-18T16:05:15.033+0000] {logging_mixin.py:151} INFO - Processed 2129810 Already! Sorry Try another
[2024-10-18T16:05:15.034+0000] {logging_mixin.py:151} INFO - Processed 2335800 Already! Sorry Try another
[2024-10-18T16:05:15.034+0000] {logging_mixin.py:151} INFO - Processed 986010 Already! Sorry Try another
[2024-10-18T16:05:15.035+0000] {logging_mixin.py:151} INFO - Processed 2097170 Already! Sorry Try another
[2024-10-18T16:05:15.036+0000] {logging_mixin.py:151} INFO - Processed 3155230 Already! Sorry Try another
[2024-10-18T16:05:15.036+0000] {logging_mixin.py:151} INFO - Processed 3213430 Already! Sorry Try another
[2024-10-18T16:05:15.037+0000] {logging_mixin.py:151} INFO - Processed 3282810 Already! Sorry Try another
