[2024-10-18T16:27:26.529+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T16:27:21.868191+00:00 [queued]>
[2024-10-18T16:27:26.544+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T16:27:21.868191+00:00 [queued]>
[2024-10-18T16:27:26.545+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 4
[2024-10-18T16:27:26.564+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): steam_extraction> on 2024-10-18 16:27:21.868191+00:00
[2024-10-18T16:27:26.570+0000] {standard_task_runner.py:57} INFO - Started process 82 to run task
[2024-10-18T16:27:26.576+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'etl_steam_pipeline', 'steam_extraction', 'manual__2024-10-18T16:27:21.868191+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/steam_dag.py', '--cfg-path', '/tmp/tmp3gl4m4rc']
[2024-10-18T16:27:26.577+0000] {standard_task_runner.py:85} INFO - Job 15: Subtask steam_extraction
[2024-10-18T16:27:26.640+0000] {task_command.py:415} INFO - Running <TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T16:27:21.868191+00:00 [running]> on host 6c0d6974ad20
[2024-10-18T16:27:26.746+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Jordan Welborn' AIRFLOW_CTX_DAG_ID='etl_steam_pipeline' AIRFLOW_CTX_TASK_ID='steam_extraction' AIRFLOW_CTX_EXECUTION_DATE='2024-10-18T16:27:21.868191+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-18T16:27:21.868191+00:00'
[2024-10-18T16:27:26.747+0000] {logging_mixin.py:151} INFO - Processed 2129810 Already! Sorry Try another
[2024-10-18T16:27:26.748+0000] {logging_mixin.py:151} INFO - Processed 2335800 Already! Sorry Try another
[2024-10-18T16:27:26.748+0000] {logging_mixin.py:151} INFO - Processed 986010 Already! Sorry Try another
[2024-10-18T16:27:26.749+0000] {logging_mixin.py:151} INFO - Processed 2097170 Already! Sorry Try another
[2024-10-18T16:27:26.750+0000] {logging_mixin.py:151} INFO - Processed 3155230 Already! Sorry Try another
[2024-10-18T16:27:26.750+0000] {logging_mixin.py:151} INFO - Processed 3213430 Already! Sorry Try another
[2024-10-18T16:27:26.751+0000] {logging_mixin.py:151} INFO - Processed 3282810 Already! Sorry Try another
[2024-10-18T16:27:26.751+0000] {logging_mixin.py:151} INFO - Processed 585420 Already! Sorry Try another
[2024-10-18T16:27:26.752+0000] {logging_mixin.py:151} INFO - Processed 1948280 Already! Sorry Try another
[2024-10-18T16:27:26.752+0000] {logging_mixin.py:151} INFO - Processed 3231920 Already! Sorry Try another
[2024-10-18T16:27:26.753+0000] {logging_mixin.py:151} INFO - Processed 1116170 Already! Sorry Try another
[2024-10-18T16:27:26.753+0000] {logging_mixin.py:151} INFO - Processed 3045050 Already! Sorry Try another
[2024-10-18T16:27:26.754+0000] {logging_mixin.py:151} INFO - Processed 2255370 Already! Sorry Try another
[2024-10-18T16:27:26.755+0000] {logging_mixin.py:151} INFO - Processed 941460 Already! Sorry Try another
[2024-10-18T16:27:26.755+0000] {logging_mixin.py:151} INFO - Processed 1520470 Already! Sorry Try another
[2024-10-18T16:27:26.756+0000] {logging_mixin.py:151} INFO - Processed 553780 Already! Sorry Try another
[2024-10-18T16:27:26.756+0000] {logging_mixin.py:151} INFO - Processed 308600 Already! Sorry Try another
[2024-10-18T16:27:26.757+0000] {logging_mixin.py:151} INFO - Processed 1459630 Already! Sorry Try another
[2024-10-18T16:27:26.757+0000] {logging_mixin.py:151} INFO - Processed 2319940 Already! Sorry Try another
[2024-10-18T16:27:26.758+0000] {logging_mixin.py:151} INFO - Processed 2139460 Already! Sorry Try another
[2024-10-18T16:27:26.758+0000] {logging_mixin.py:151} INFO - Processed 2334700 Already! Sorry Try another
[2024-10-18T16:27:26.760+0000] {logging_mixin.py:151} INFO - Processed 2399420 Already! Sorry Try another
[2024-10-18T16:27:26.760+0000] {logging_mixin.py:151} INFO - Processed 2999030 Already! Sorry Try another
[2024-10-18T16:27:26.761+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 258550...
[2024-10-18T16:27:27.288+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 258550
