[2024-10-20T01:45:44.727+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-20T01:45:43.121304+00:00 [queued]>
[2024-10-20T01:45:44.737+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-20T01:45:43.121304+00:00 [queued]>
[2024-10-20T01:45:44.737+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-10-20T01:45:44.751+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): steam_extraction> on 2024-10-20 01:45:43.121304+00:00
[2024-10-20T01:45:44.756+0000] {standard_task_runner.py:57} INFO - Started process 60 to run task
[2024-10-20T01:45:44.760+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'etl_steam_pipeline', 'steam_extraction', 'manual__2024-10-20T01:45:43.121304+00:00', '--job-id', '25', '--raw', '--subdir', 'DAGS_FOLDER/steam_dag.py', '--cfg-path', '/tmp/tmpsipo4zbd']
[2024-10-20T01:45:44.763+0000] {standard_task_runner.py:85} INFO - Job 25: Subtask steam_extraction
[2024-10-20T01:45:44.819+0000] {task_command.py:415} INFO - Running <TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-20T01:45:43.121304+00:00 [running]> on host 8c4ad75bac1b
[2024-10-20T01:45:44.915+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Jordan Welborn' AIRFLOW_CTX_DAG_ID='etl_steam_pipeline' AIRFLOW_CTX_TASK_ID='steam_extraction' AIRFLOW_CTX_EXECUTION_DATE='2024-10-20T01:45:43.121304+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-20T01:45:43.121304+00:00'
[2024-10-20T01:45:44.919+0000] {logging_mixin.py:151} INFO - Processed 2129810 Already! Sorry Try another
[2024-10-20T01:45:44.920+0000] {logging_mixin.py:151} INFO - Processed 2335800 Already! Sorry Try another
[2024-10-20T01:45:44.922+0000] {logging_mixin.py:151} INFO - Processed 986010 Already! Sorry Try another
[2024-10-20T01:45:44.924+0000] {logging_mixin.py:151} INFO - Processed 2097170 Already! Sorry Try another
[2024-10-20T01:45:44.925+0000] {logging_mixin.py:151} INFO - Processed 3155230 Already! Sorry Try another
[2024-10-20T01:45:44.927+0000] {logging_mixin.py:151} INFO - Processed 3213430 Already! Sorry Try another
[2024-10-20T01:45:44.928+0000] {logging_mixin.py:151} INFO - Processed 3282810 Already! Sorry Try another
[2024-10-20T01:45:44.930+0000] {logging_mixin.py:151} INFO - Processed 585420 Already! Sorry Try another
[2024-10-20T01:45:44.931+0000] {logging_mixin.py:151} INFO - Processed 1948280 Already! Sorry Try another
[2024-10-20T01:45:44.932+0000] {logging_mixin.py:151} INFO - Processed 3231920 Already! Sorry Try another
[2024-10-20T01:45:44.933+0000] {logging_mixin.py:151} INFO - Processed 1116170 Already! Sorry Try another
[2024-10-20T01:45:44.934+0000] {logging_mixin.py:151} INFO - Processed 3045050 Already! Sorry Try another
[2024-10-20T01:45:44.936+0000] {logging_mixin.py:151} INFO - Processed 2255370 Already! Sorry Try another
[2024-10-20T01:45:44.937+0000] {logging_mixin.py:151} INFO - Processed 941460 Already! Sorry Try another
[2024-10-20T01:45:44.938+0000] {logging_mixin.py:151} INFO - Processed 1520470 Already! Sorry Try another
[2024-10-20T01:45:44.940+0000] {logging_mixin.py:151} INFO - Processed 553780 Already! Sorry Try another
[2024-10-20T01:45:44.941+0000] {logging_mixin.py:151} INFO - Processed 308600 Already! Sorry Try another
[2024-10-20T01:45:44.942+0000] {logging_mixin.py:151} INFO - Processed 1459630 Already! Sorry Try another
[2024-10-20T01:45:44.943+0000] {logging_mixin.py:151} INFO - Processed 2319940 Already! Sorry Try another
[2024-10-20T01:45:44.944+0000] {logging_mixin.py:151} INFO - Processed 2139460 Already! Sorry Try another
[2024-10-20T01:45:44.945+0000] {logging_mixin.py:151} INFO - Processed 2334700 Already! Sorry Try another
[2024-10-20T01:45:44.946+0000] {logging_mixin.py:151} INFO - Processed 2399420 Already! Sorry Try another
[2024-10-20T01:45:44.948+0000] {logging_mixin.py:151} INFO - Processed 2999030 Already! Sorry Try another
[2024-10-20T01:45:44.949+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 258550...
[2024-10-20T01:45:45.281+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 258550
[2024-10-20T01:45:45.283+0000] {logging_mixin.py:151} INFO - Processed 1851350 Already! Sorry Try another
[2024-10-20T01:45:45.284+0000] {logging_mixin.py:151} INFO - Processed 3018090 Already! Sorry Try another
[2024-10-20T01:45:45.286+0000] {logging_mixin.py:151} INFO - Processed 3271040 Already! Sorry Try another
[2024-10-20T01:45:45.287+0000] {logging_mixin.py:151} INFO - Processed 2266650 Already! Sorry Try another
[2024-10-20T01:45:45.288+0000] {logging_mixin.py:151} INFO - Processed 3198990 Already! Sorry Try another
[2024-10-20T01:45:45.289+0000] {logging_mixin.py:151} INFO - Processed 2082570 Already! Sorry Try another
[2024-10-20T01:45:45.290+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 1892930...
[2024-10-20T01:45:45.678+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 1892930
[2024-10-20T01:45:45.680+0000] {logging_mixin.py:151} INFO - Processed 3277500 Already! Sorry Try another
[2024-10-20T01:45:45.682+0000] {logging_mixin.py:151} INFO - Processed 3061690 Already! Sorry Try another
[2024-10-20T01:45:45.683+0000] {logging_mixin.py:151} INFO - Processed 322330 Already! Sorry Try another
[2024-10-20T01:45:45.684+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 3199170...
[2024-10-20T01:45:45.966+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 3199170
[2024-10-20T01:45:45.968+0000] {logging_mixin.py:151} INFO - Processed 1273100 Already! Sorry Try another
[2024-10-20T01:45:45.969+0000] {logging_mixin.py:151} INFO - Processed 3190970 Already! Sorry Try another
